ID,sire,dam
a29131,a28481,a28506
a29132,a28455,a28535
a29133,a28442,a28525
a29134,a28497,a28524
a29135,a28475,a28506
a29136,a28435,a28570
a29137,a28424,a28509
a29138,a28489,a28577
a29139,a28413,a28506
a29140,a28436,a28576
a29141,a28424,a28561
a29142,a28469,a28595
a29143,a28453,a28518
a29144,a28437,a28598
a29145,a28415,a28565
a29146,a28403,a28548
a29147,a28479,a28507
a29148,a28465,a28535
a29149,a28472,a28564
a29150,a28406,a28561
a29151,a28427,a28598
a29152,a28413,a28558
a29153,a28438,a28553
a29154,a28473,a28505
a29155,a28412,a28514
a29156,a28413,a28518
a29157,a28459,a28543
a29158,a28481,a28532
a29159,a28412,a28543
a29160,a28447,a28574
a29161,a28461,a28574
a29162,a28405,a28561
a29163,a28450,a28514
a29164,a28414,a28513
a29165,a28416,a28501
a29166,a28451,a28532
a29167,a28452,a28555
a29168,a28431,a28595
a29169,a28478,a28508
a29170,a28439,a28587
a29171,a28471,a28577
a29172,a28468,a28530
a29173,a28418,a28573
a29174,a28462,a28502
a29175,a28424,a28561
a29176,a28487,a28546
a29177,a28419,a28548
a29178,a28465,a28544
a29179,a28439,a28512
a29180,a28460,a28509
a29181,a28452,a28542
a29182,a28413,a28575
a29183,a28494,a28562
a29184,a28427,a28522
a29185,a28411,a28578
a29186,a28454,a28570
a29187,a28491,a28544
a29188,a28422,a28512
a29189,a28487,a28575
a29190,a28424,a28554
a29191,a28442,a28568
a29192,a28435,a28505
a29193,a28494,a28579
a29194,a28411,a28588
a29195,a28492,a28505
a29196,a28468,a28503
a29197,a28422,a28573
a29198,a28485,a28584
a29199,a28420,a28582
a29200,a28450,a28557
a29201,a28492,a28502
a29202,a28488,a28581
a29203,a28486,a28557
a29204,a28462,a28503
a29205,a28482,a28524
a29206,a28481,a28513
a29207,a28422,a28508
a29208,a28412,a28578
a29209,a28442,a28551
a29210,a28417,a28552
a29211,a28495,a28504
a29212,a28421,a28566
a29213,a28486,a28563
a29214,a28429,a28540
a29215,a28478,a28501
a29216,a28433,a28598
a29217,a28485,a28509
a29218,a28423,a28506
a29219,a28423,a28542
a29220,a28471,a28587
a29221,a28488,a28502
a29222,a28441,a28596
a29223,a28448,a28547
